ACCOUNT_NO,BALANCE,ACCOUNT_TYPE,MOBILE,BRANCH_ID,ADMINISTRATOR,PERSON_ID
190,64350,CURRENT,6124109667,BTO,T,44
191,30281,SAVINGS,1312002295,BPs,F,27
192,63052,CURRENT,5163340932,Bqv,F,56
193,69377,CURRENT,8079450026,BeQ,F,48
194,55945,CURRENT,7403845226,BFx,T,53
195,85464,SAVINGS,9747713076,BTV,F,81
196,47276,CURRENT,3302812626,B1T,F,22
197,87203,SAVINGS,7008391469,BH4,F,77
198,93005,CURRENT,7737724538,BmN,F,33
199,53011,SAVINGS,9309967404,BW8,F,82
200,97113,SAVINGS,1693755283,Bzi,F,54
201,52876,SAVINGS,7412580526,BeQ,F,30
202,69350,SAVINGS,7469753399,Bao,F,63
203,93624,CURRENT,8475678591,BTV,F,40
204,32300,CURRENT,8908918812,B1i,F,48
205,38695,CURRENT,1477773699,BLS,F,71
206,52771,SAVINGS,6475859351,Bsw,F,60
207,76669,SAVINGS,2416044804,Be6,F,78
208,35331,SAVINGS,3665608457,B2Q,T,24
209,48075,CURRENT,2723951892,Bvj,F,86
210,38694,SAVINGS,8154761558,BEa,F,88
211,45628,SAVINGS,1982661748,B6c,F,84
212,77395,SAVINGS,4943515033,BZd,F,88
213,75986,SAVINGS,1816656216,BmN,F,59
214,37343,SAVINGS,7229717930,Bfk,F,1
215,39339,SAVINGS,1286372098,BPs,F,22
216,75140,SAVINGS,7896467921,BW8,F,53
217,26908,CURRENT,4179477086,Bm9,F,58
218,80631,SAVINGS,1842190799,Br2,F,40
219,41797,CURRENT,4124980807,BQd,F,1
220,62717,SAVINGS,5604380393,BrC,F,57
221,10448,CURRENT,3041791513,BrC,T,39
222,8059,SAVINGS,8622030482,Bon,F,73
223,80476,SAVINGS,5978059630,BQf,F,70
224,72859,CURRENT,3739718471,BZX,F,82
225,7821,CURRENT,3246959220,BTe,F,83
226,2119,SAVINGS,1509915886,BwA,F,97
227,34528,SAVINGS,7372774477,BSE,F,2
228,57692,SAVINGS,7896694842,BRu,F,39
229,48821,CURRENT,9362779456,B1T,F,24
230,95125,SAVINGS,1205829009,BTV,F,99
231,88715,SAVINGS,4368354136,BYY,T,3
232,21674,CURRENT,9881613167,Bqr,F,23
233,66647,SAVINGS,5695548205,B7q,F,30
234,55360,CURRENT,9137054209,BFw,F,67
235,31372,SAVINGS,6783138449,BvO,F,65
236,65207,SAVINGS,4181342741,BXJ,F,35
237,51959,CURRENT,7184158346,BeQ,F,63
238,12274,SAVINGS,8692645929,Bbl,F,37
239,90910,SAVINGS,2999123513,Bfk,F,86
240,19848,CURRENT,6428817053,BFx,F,81
241,76996,CURRENT,4989812762,BTO,F,80
242,11003,SAVINGS,9373953650,BMl,F,71
243,59618,CURRENT,7142637633,Bqv,F,52
244,83886,CURRENT,3254352382,BLe,F,14
245,34897,CURRENT,6428029822,BW8,F,31
246,67073,SAVINGS,3308708448,Bwa,F,32
247,8148,CURRENT,7744520272,BZX,F,95
248,1955,SAVINGS,4103164221,BEk,F,11
249,96727,CURRENT,4435548252,Bzx,T,79
250,13621,SAVINGS,1997038323,BH4,F,56
251,31395,SAVINGS,3725449305,BTe,F,98
252,7759,SAVINGS,5649604427,ByX,F,33
253,85439,CURRENT,7493331500,B88,F,4
254,55652,CURRENT,1303488139,BZX,F,92
255,63120,CURRENT,9846770440,BmU,F,17
256,41101,CURRENT,8017245352,BnL,F,24
257,14367,CURRENT,4285764812,BoK,T,23
258,45007,SAVINGS,3278819931,BQd,F,6
259,87677,SAVINGS,1359670505,BPs,F,98
260,6384,SAVINGS,8495523546,B02,F,26
261,46849,SAVINGS,4095408701,Bon,F,63
262,81559,CURRENT,2431557982,Bzx,F,19
263,5182,CURRENT,8274763367,BGD,F,36
264,58989,SAVINGS,6868829887,BZX,F,73
265,89556,CURRENT,3253947307,B14,F,90
266,59627,SAVINGS,6752183827,Bs4,T,78
267,78280,CURRENT,1142011506,BLe,F,91
268,36935,CURRENT,6777598230,BqY,T,77
269,17254,SAVINGS,8264973333,BNI,T,51
270,62848,SAVINGS,1193246869,BdV,F,10
271,92975,SAVINGS,1025032529,BeG,F,28
272,16059,SAVINGS,2317859801,BhP,F,65
273,14825,SAVINGS,7414279352,Bgt,F,59
274,87848,CURRENT,7763740545,BzG,F,11
275,23290,CURRENT,9227721558,Ba6,F,64
276,82427,CURRENT,9832833299,Bs4,F,83
277,35928,CURRENT,6394185683,BvO,F,51
278,42826,CURRENT,1105933081,Bvj,F,46
279,40620,CURRENT,5609803972,Bon,F,58
280,51363,CURRENT,1175909273,BeQ,F,45
281,91441,CURRENT,4221372550,BwA,F,15
282,65140,CURRENT,5403966419,BZ0,F,46
283,64407,SAVINGS,9821298079,BYF,F,75
284,25447,SAVINGS,4919310106,BW8,T,91
285,70882,CURRENT,3953882557,BmC,T,5
286,87438,SAVINGS,4897349001,Ba6,F,48
287,51022,CURRENT,5612564084,BYY,T,54
288,66523,CURRENT,4343099757,BYF,F,38
289,5066,SAVINGS,1041868216,Bsw,F,80
290,53147,SAVINGS,6475805788,BLe,F,65
291,84727,SAVINGS,7613838787,BQf,F,74
292,27316,CURRENT,3684927311,BRu,F,5
293,80753,SAVINGS,5396690672,BxE,F,66
294,89075,SAVINGS,2143683403,BXJ,F,22
295,97123,CURRENT,3536312134,B2U,F,32
296,5510,CURRENT,7098989854,BiA,F,63
297,29426,SAVINGS,5048774052,Bbl,T,2
298,85751,CURRENT,9079115033,B6Z,F,65
299,65655,CURRENT,3512453014,Bvj,F,65
300,79782,SAVINGS,8652091858,B9I,F,9
301,41527,CURRENT,4448827951,BBr,F,63
302,53217,SAVINGS,7939259835,BSE,F,85
303,62085,CURRENT,5261182202,Bao,F,34
304,36961,SAVINGS,8291067301,BaO,F,44
305,3872,SAVINGS,1055515733,Bs4,F,72
306,36966,SAVINGS,8174862922,BDW,F,17
307,61460,SAVINGS,9446539750,BaO,T,98
308,22397,SAVINGS,3244331690,BFx,F,48
309,77148,SAVINGS,6439071474,BGD,F,65
310,30774,CURRENT,4126535262,B9K,F,23
311,74545,CURRENT,9892086795,BhP,F,25
312,58911,CURRENT,6051117712,BGY,F,62
313,95219,SAVINGS,7517191831,B3M,F,1
314,82431,CURRENT,7992665638,B9K,T,28
315,83530,CURRENT,6914205407,B29,F,46
316,98381,CURRENT,6527881471,BXJ,T,38
317,76455,SAVINGS,1925201911,BiA,F,67
318,14710,SAVINGS,6786752232,BaO,F,10
319,94444,CURRENT,5316121754,BN4,F,2
320,71344,SAVINGS,1603280753,ByX,F,46
321,89574,CURRENT,6001182642,BzG,F,13
322,40871,CURRENT,8982495351,Bv2,F,21
323,49691,SAVINGS,7441044198,Bs4,F,72
324,12242,CURRENT,5514151546,B14,F,7
325,47794,CURRENT,3009655210,Bqv,F,26
326,54217,CURRENT,8622033815,BRU,F,95
327,14610,SAVINGS,8158562107,BmU,F,55
328,7016,SAVINGS,6862651115,Br2,F,43
329,38844,CURRENT,8462682060,Bv5,F,91
330,27668,CURRENT,7373651043,BMl,F,46
331,45823,CURRENT,4749760630,Bm9,F,69
332,14758,CURRENT,8996594953,BqY,F,53
333,72531,SAVINGS,3613207497,Bwd,F,73
334,96146,CURRENT,6885198069,Be6,F,3
335,2243,SAVINGS,7644110515,Bbl,F,9
336,6062,SAVINGS,9472430971,B9I,F,78
337,92062,CURRENT,5876920135,Bv2,F,34
338,81451,CURRENT,2642973719,BhO,F,99
339,75434,SAVINGS,8317552531,Be6,F,58
340,35189,SAVINGS,9748544043,Bm9,F,98
341,85704,CURRENT,5396736309,BNI,F,39
342,93365,CURRENT,2684343968,B9K,T,89
343,58776,CURRENT,1458926792,BTO,F,17
344,62905,CURRENT,4228323704,B29,F,9
345,7983,CURRENT,2143420847,Bao,F,16
346,81409,CURRENT,6868435171,B88,F,2
347,85811,SAVINGS,2596665016,BZ0,T,25
348,43052,CURRENT,4156147723,BGY,F,27
349,70921,SAVINGS,3734521882,B6Z,F,50
350,22270,CURRENT,6891172587,BPs,F,16
351,28314,CURRENT,4343179969,BmU,F,19
352,66990,CURRENT,1087471824,BFx,F,40
353,37830,CURRENT,7619698089,Bao,F,80
354,23505,SAVINGS,2064525671,Bzx,F,58
355,39522,SAVINGS,6025501599,Bqr,F,75
356,29713,CURRENT,8832200436,B3M,F,38
357,47167,CURRENT,5348409349,BmC,F,1
358,54785,CURRENT,4273814294,BwA,F,100
359,38730,CURRENT,9969651531,BZ0,T,52
360,66000,CURRENT,8821869786,B3M,F,50
361,34682,CURRENT,1412281320,B6Z,T,44
362,46041,CURRENT,8094384856,Bwd,F,35
363,96976,CURRENT,3874975941,BhP,F,77
364,35151,CURRENT,4605392174,BqY,F,72
365,78076,CURRENT,2215839965,BYY,F,23
366,78839,SAVINGS,5136738292,Byz,F,15
367,7867,SAVINGS,1309225494,BGY,F,60
368,15558,CURRENT,6198758412,BTt,F,78
369,40647,CURRENT,7657012604,BEa,F,47
370,68182,CURRENT,6648822316,BYY,F,57
371,61959,CURRENT,8189554232,BmU,F,39
372,77334,CURRENT,3123130482,BBr,F,42
373,4490,CURRENT,9864471293,BrC,F,31
374,12392,CURRENT,2805476241,BTV,F,52
375,50584,SAVINGS,8292180159,BPs,F,32
376,8111,CURRENT,1193811034,BxE,F,1
377,81433,SAVINGS,4641290829,BRu,F,8
378,99071,SAVINGS,9917592563,Bv2,F,78
379,70616,SAVINGS,7217220970,B3c,F,14
380,84804,CURRENT,2312842895,Bsw,F,45
381,22237,CURRENT,8092871298,BBr,F,82
382,63907,SAVINGS,4352150826,B7q,F,52
383,72924,CURRENT,9864744245,Bv2,F,85
384,41425,CURRENT,5065242009,BLe,F,22
385,67082,SAVINGS,7947581471,Bqv,T,61
386,9248,SAVINGS,8332115899,B2U,F,54
387,36090,SAVINGS,2497488068,BYY,T,46
388,17454,SAVINGS,6322737042,Ba6,F,75
389,47093,CURRENT,2029192496,BrC,F,42
390,85503,SAVINGS,4462926884,B02,F,35
391,60390,CURRENT,1946639537,BYY,F,87
392,4531,CURRENT,5904929785,BNI,F,60
393,41622,CURRENT,8846204523,B3c,F,89
394,58598,CURRENT,2151102995,Bgt,T,85
395,4821,SAVINGS,4094055239,BRU,F,38
396,51127,CURRENT,5272165131,BLS,F,37
397,31456,CURRENT,9937649416,BNI,F,53
398,22244,CURRENT,4905310831,B90,T,74
399,18175,SAVINGS,2922660765,BGD,F,79
400,32019,CURRENT,7909232110,BLe,F,32
401,62222,SAVINGS,2009061187,BnL,F,13
402,56349,SAVINGS,3257992839,B9I,F,66
403,64043,SAVINGS,4862147401,BoK,F,28
404,26265,SAVINGS,9477313160,BzG,F,67
405,80674,CURRENT,7593488658,B6Z,F,51
406,49985,CURRENT,3298450680,BzG,T,22
407,5579,CURRENT,7733313940,B2U,F,44
408,79807,SAVINGS,7669492443,BDT,F,9
409,59943,SAVINGS,8041288101,BTO,F,92
410,38387,SAVINGS,8862771077,BLF,F,72
411,59719,SAVINGS,9705151623,BGD,F,20
412,72041,CURRENT,1986344550,BeG,F,55
413,53718,SAVINGS,9762595832,BOe,F,16
414,74472,SAVINGS,3378592416,BLF,F,76
415,22872,CURRENT,9063836529,BZd,F,79
416,98277,SAVINGS,1497816950,Bbl,F,89
417,97778,SAVINGS,6808269561,Bao,F,91
418,61684,CURRENT,3234105600,B1T,T,11
419,85735,CURRENT,3413343495,BrC,F,96
420,36210,CURRENT,7857709735,BTO,F,5
421,71243,SAVINGS,3068528728,BmU,F,1
422,42202,CURRENT,4814523453,Bv2,F,27
423,36383,SAVINGS,8218401672,BmN,F,26
424,99467,CURRENT,7463905263,B90,F,3
425,9561,CURRENT,4294717448,Br2,F,53
426,69486,SAVINGS,3547454643,B02,F,36
427,61273,CURRENT,6403958107,BQf,F,51
428,6002,SAVINGS,6839380269,BeQ,F,100
429,40397,SAVINGS,6117506573,Bao,F,60
430,43059,CURRENT,2512542247,BdV,T,32
431,29548,SAVINGS,8171231704,B6Z,F,4
432,2805,CURRENT,6009330240,BLF,F,61
433,47112,SAVINGS,9571177901,BH4,F,48
434,85904,CURRENT,4845799619,BnL,F,5
435,99240,CURRENT,8346931912,Bs4,F,13
436,22609,CURRENT,9213113761,BhP,F,35
437,35745,SAVINGS,1319588822,BMl,F,29
438,76343,SAVINGS,4153625976,Bv2,F,21
439,92951,CURRENT,2157820741,BrC,F,69
440,4658,SAVINGS,3206307317,BOe,T,86
441,79137,SAVINGS,9568423307,Bzx,F,97
442,91491,SAVINGS,2935359834,BvO,F,60
443,74776,SAVINGS,5353287105,BhO,F,80
444,10883,SAVINGS,8965087775,BW8,F,49
445,96124,SAVINGS,8153481323,B9I,T,87
446,39850,CURRENT,7513981573,ByX,F,40
447,39715,SAVINGS,8372316681,BoK,F,93
448,54012,CURRENT,1805032274,Bao,T,16
449,50086,SAVINGS,2923568851,BmU,F,40
450,12332,CURRENT,1362496397,BYi,F,75
451,87857,SAVINGS,6243150868,BhP,F,89
452,12932,CURRENT,4721528538,BLS,F,52
453,72034,CURRENT,5295150283,BXJ,F,30
454,96262,SAVINGS,6994230199,BxE,F,1
455,97017,CURRENT,1577685903,BeQ,F,41
456,3974,SAVINGS,6624561352,B1T,F,15
457,24944,SAVINGS,8624160454,BSE,F,29
458,37321,SAVINGS,1216953146,BeQ,F,21
459,30202,SAVINGS,3031491103,BmC,F,7
460,72441,SAVINGS,8699905155,B1i,F,65
461,48684,CURRENT,7392139876,Bzx,F,94
462,17398,CURRENT,7139642713,BMl,F,43
463,34423,SAVINGS,3885192752,Bqr,F,51
464,45567,CURRENT,4492391753,BTe,F,33
465,82664,SAVINGS,9737347349,BLF,F,91
466,28971,SAVINGS,7818277731,Bbl,F,4
467,40494,SAVINGS,2656883734,BPx,F,22
468,48058,CURRENT,7691294456,Bao,F,90
469,98947,SAVINGS,1378920799,BEk,F,90
470,75340,SAVINGS,9292819774,B2U,F,43
471,96821,CURRENT,2028885964,B9K,T,12
472,3230,SAVINGS,9961707861,BnL,F,91
473,20713,CURRENT,2352875728,Bv5,F,34
474,10370,CURRENT,2968133994,B2Q,F,78
475,80364,CURRENT,1933566368,Bzx,F,99
476,18011,CURRENT,1535704817,B02,F,63
477,17299,CURRENT,9397049463,BLe,F,35
478,78942,CURRENT,3386094321,Bbl,F,32
479,16086,SAVINGS,2549208624,BOe,F,58
480,58644,SAVINGS,9813179948,BaO,F,63
481,19500,CURRENT,2915522998,BYY,F,19
482,77003,SAVINGS,7365379589,BFx,T,77
483,96120,SAVINGS,2726924542,B02,F,12
484,82365,SAVINGS,3673874103,Be6,F,55
485,2952,SAVINGS,8776322519,BYF,F,75
486,42983,SAVINGS,4589812099,B0T,F,87
487,8556,CURRENT,3498469518,BwA,F,82
488,27100,CURRENT,1315666408,BhP,F,82
489,37137,SAVINGS,4074584649,BmC,F,59
490,94905,SAVINGS,3459785801,Byz,T,48
491,21289,CURRENT,4605253286,BZX,F,88
492,35079,SAVINGS,8708519037,BRu,F,97
493,32006,SAVINGS,3114473388,BXD,F,26
494,76434,CURRENT,7957545019,BmC,F,48
495,31685,CURRENT,9593394792,Bm9,F,40
496,57695,CURRENT,7418014150,Bqr,F,48
497,27349,CURRENT,7292578358,BmC,F,85
498,75168,CURRENT,2912078243,BYF,F,52
499,57280,CURRENT,9039588239,BeG,F,73
500,87499,CURRENT,8447070325,BEa,F,3
501,88475,SAVINGS,7151452853,BmN,F,81
502,26628,SAVINGS,4906831911,BN4,F,38
503,56195,SAVINGS,3079782041,BrC,F,42
504,80592,CURRENT,5806836343,Be6,F,20
505,95987,SAVINGS,7937390858,BxE,F,85
506,79418,SAVINGS,4579394320,Ba6,T,88
507,76100,SAVINGS,2693780489,Bao,F,78
508,45351,CURRENT,8592034120,BNI,F,86
509,82131,SAVINGS,6604373660,BPx,F,63
510,36306,SAVINGS,7473492745,Bao,F,69
511,74047,CURRENT,8718405062,BZ0,F,47
512,62015,CURRENT,2018591776,BvO,F,86
513,81993,SAVINGS,1149208917,Bbl,F,1
514,94105,CURRENT,1309116489,BQd,F,57
515,54598,CURRENT,8143778271,BLF,F,29
516,21502,SAVINGS,1274663143,BiA,F,52
517,47563,SAVINGS,6679808916,Bzi,F,64
518,6078,SAVINGS,7106566336,BvO,F,35
519,14889,CURRENT,8127699280,BmU,F,18
520,83125,SAVINGS,2529087698,B3g,F,47
521,23944,SAVINGS,1069015051,BQf,F,68
522,97278,CURRENT,1589665640,B3g,T,42
523,58416,SAVINGS,2183967286,BYF,F,1
524,86544,CURRENT,8324048141,BTU,F,22
525,51325,CURRENT,8575520362,B0T,F,55
526,46270,SAVINGS,2256909065,B7q,F,9
527,41754,SAVINGS,3636819325,BTe,T,25
528,27105,CURRENT,5377572606,BFw,F,98
529,34519,SAVINGS,4457415603,BYY,F,84
530,87530,SAVINGS,7716220889,Bzx,F,67
531,94440,SAVINGS,6928310540,BDW,F,80
532,45325,SAVINGS,7605881946,BYF,T,11
533,85165,CURRENT,6435602744,Bwa,F,19
534,60553,SAVINGS,1768645408,Bvj,F,4
535,64713,CURRENT,9265334324,Bm9,F,12
536,98054,SAVINGS,7621224054,Bbl,T,99
537,19841,CURRENT,1326052194,BH4,F,94
538,26655,CURRENT,6447394391,BH4,F,1
539,62952,CURRENT,8832089567,Byz,F,1
540,78460,SAVINGS,3198990318,BGD,F,24
541,34909,CURRENT,5165931339,B3g,F,97
542,27173,CURRENT,5229702143,BeQ,F,60
543,45340,CURRENT,7413807993,Bm9,F,3
544,48295,CURRENT,3813050753,BBr,F,92
545,75700,CURRENT,2118374579,BQf,F,2
546,69979,CURRENT,1228864029,BDW,F,81
547,15608,SAVINGS,4143540974,BEk,F,50
548,50399,SAVINGS,2284294889,BTV,F,76
549,84725,CURRENT,7244732998,Bvf,F,33
550,9998,SAVINGS,9542083160,B1i,F,76
551,68825,CURRENT,9416508658,Be6,F,94
552,27074,CURRENT,6809394623,BRu,F,31
553,58215,SAVINGS,7082254617,Bbl,F,78
554,27946,SAVINGS,1565841123,BRU,F,52
555,53838,SAVINGS,6263320923,BH4,F,18
556,88961,SAVINGS,4793380134,BGD,T,40
557,39984,CURRENT,8839237097,BTU,F,37
558,53114,CURRENT,3508453664,B9I,F,27
559,51062,CURRENT,2128609086,BeG,F,70
560,86193,CURRENT,3535894261,BN4,F,92
561,12972,SAVINGS,2893976269,BNI,F,24
562,61369,CURRENT,1251240039,BN4,T,34
